Câu,Độ dài,Phân nhóm
"勢鎮汪洋，潮
湧銀山魚入穴
威寧瑤海，波翻雪浪蜃離淵。",27,Trung bình
水 火方隅高積上，東海之處聳崇巔。,17,Trung bình
"丹崖怪
石，削壁奇峰。",11,Ngắn
"丹崖上，彩鳳雙鳴
削 壁前，麒麟獨臥。",19,Trung bình
"峰頭時聽錦雞鳴，石窟每觀龍出
入。",17,Trung bình
林中有壽鹿仙狐，樹上有 靈禽玄鶴。,17,Trung bình
瑤草奇花不謝，青松翠柏長春。,14,Ngắn
"仙桃常結果，修
竹每留雲。",13,Ngắn
一條澗壑 籐蘿密，四面原堤草色新。,17,Trung bình
"正是百川會處擎天柱，萬劫無移大地根。
那座山正當頂上，有一塊仙石。",33,Trung bình
其石有三丈六尺五寸高，有二丈四尺圍圓。,19,Trung bình
"三丈 六尺五
寸高，按周天三百六十五度
二丈四尺圍圓，按政曆二十四氣。",35,Dài
"上有九竅 八孔，按九宮八
卦。",15,Ngắn
"四面更無樹木遮陰，左右倒有芝蘭相襯。
蓋自開闢以來，每受天真地秀，日精月華，感之既久，遂有靈通之意。",50,Dài
"內育仙胞 ，一日
迸裂，產一石卵，似圓毬樣大。",23,Trung bình
因見風，化作一個石猴，五官俱備，四肢 皆全。,22,Trung bình
"便就學爬
學走，拜了四方。",13,Ngắn
目運兩道金光，射沖斗府。,12,Ngắn
"驚動高天上聖大慈 仁者玉皇大天尊玄穹高上
帝，駕座金闕雲宮靈霄寶殿，聚集仙卿，見有金光燄燄 ，即命千里眼、順風耳開南天門觀
看。",64,Dài
二將果奉旨出門外，看的真，聽的明。,17,Trung bình
"須 臾回報道:
臣奉旨觀聽金光之處，乃東勝
神洲海東傲來小國之界，有一座花果 山，山上有一仙石，石產一卵，見風化一石猴，在那
裏拜四方，眼運金光，射沖 斗府。",79,Dài
"如今服餌水食，金光將潛息矣。
玉帝垂賜恩慈曰:
下方之物，乃天地 精華所生，不足為異。
那猴在山中，卻會行走跳躍，食草木，飲澗泉，採山花，覓樹果
與狼蟲為伴， 虎豹為
群，獐鹿為友，獼猿為親
夜宿石崖之下，朝遊峰洞之中。",110,Dài
"真是:
山中 無甲子，寒盡不
知年。
一朝天氣炎熱，與群猴避暑，都在松陰之下頑耍。",41,Dài
"你看他一個個: 跳樹攀
枝，採花覓果
跑沙窩，砌寶塔
趕蜻蜓，撲蜡
參老 天，拜菩薩
扯
葛籐，編草
捉虱子，咬又掐
理毛衣，剔指甲。",67,Dài
"挨的挨，擦的 擦
推的推，壓的壓
扯
的扯，拉的拉:青松林下任他頑，綠水澗邊隨洗濯。
一群猴子耍了一會，卻去那山澗中洗澡。",61,Dài
見那股澗水奔流，真個似滾瓜湧濺。,16,Trung bình
"古 云:
禽有禽言，獸有獸語。
眾猴都道:
這股水不知是那裏的水。",33,Trung bình
"我們今日 趕閑無事，順
澗邊往上溜頭尋看源流，耍子去耶
喊一聲，都拖男挈女，呼弟 呼兄，一齊跑來，順澗
爬山，直至源流之處，乃是一股瀑布飛泉。",71,Dài
但見那: 一派白虹起，千尋雪浪飛。,17,Trung bình
