Câu,Độ dài,Phân nhóm
原来这泾河水府有一个巡水的夜叉，声见了百下百著之言，急转水晶宫，慌忙报与龙王道“祸事了祸事了”龙王问:“有甚祸事?”,58,Dài
夜叉道:“臣巡水去到河边，只声得两个演、樵攀话，相别时，言语甚是利害。,35,Dài
那渔翁说:长安城袁，西门街上，有个卖卦先生，算得最准。,27,Dài
他每日送他鲤鱼一尾，他就袖传一课，教他百下百著。,24,Trung bình
若依此等算准，却不将水族尽情打了?,17,Trung bình
何以壮观水府，何以跃浪翻波，辅助大王威力?”,22,Trung bình
龙王甚怒，急提了剑，就要上长安城，诛灭这卖卦的。,24,Trung bình
旁边闪过龙子、龙孙、虾臣、蟹士、鳞军师、鳅少卿、鲤太宰，一齐启奏道“大王世息恩。,40,Dài
常言道:“遇耳之词，不可声信。”,16,Trung bình
大王此去，必有云从，必有雨助，恐骄了长安黎庶，上天见责。,28,Dài
大王隐显莫测，变化无方，但只变一秀士，到长安城内访问一番。,29,Dài
果有此辎，容加诛灭不迟:若无此辎，可不是妄害他人也?”,27,Dài
龙王依奏，遂弃宝剑，也不兴云雨，出岸上，摇身一变，变作一个白衣秀士，真个:丰姜英伟，唱境昂雷。,47,Dài
步履端祥，循规蹈矩。,10,Ngắn
语言遵孔孟，礼貌体周文。,12,Ngắn
身穿玉色罗祢服，头戴逍游一字巾。,16,Trung bình
上路来，拱开云步，径到长安城西门大街上。,20,Trung bình
只见一簪人，挤擦雏杂，闹闹哄哄。,16,Trung bình
内有高谈阔论的道:“属龙的本命，属虎的相冲。,22,Trung bình
寅辰巳亥，虽称合局，但怕的是日犯岁君。”,20,Trung bình
龙王闯言，情知是卖卜之处。,13,Ngắn
走上前，分开众人，望里观看。,14,Ngắn
只见:四壁珠玑，满基绮绣。,13,Ngắn
宝鸭香无断，磁烈水恁清。,12,Ngắn
两边罗列王维画，座上高悬鬼谷形。,16,Trung bình
端溪砚，金烟罂，相衬菁霞毫大笔:火珠林，郭璞数，谨对了台政新经。,32,Dài
六爻熟谙，八卦精通。,10,Ngắn
能知天地理，善晓鬼神情。,12,Ngắn
一槃子午安排定，满腹星辰布列清。,16,Trung bình
真个那未来事，过去事，观如月镜:几家兴，几家败，鉴若神明。,29,Dài
知凶定吉，断死言生。,10,Ngắn
开谈风雨迅，下笔鬼神惊。,12,Ngắn
招牌有字书名姓，神课先生袁守诚。,16,Trung bình
此人是谁?,5,Ngắn
原来是当朝钦天监台正先生袁天罪的叔父，袁守说是也。,25,Trung bình
那先生果然相貌稀奇，仪容秀丽:名扬大国，术悍长安。,25,Trung bình
龙王入门来，与先生相见。,12,Ngắn
礼载，请龙上坐，童子献茎。,13,Ngắn
先生问日:“公来问何事?”,13,Ngắn
龙王日:“请卜天上阴晴事如何。”,16,Trung bình
先生即袖传一课，断日:“云迷山顶，雾罩林梢。,22,Trung bình
若占雨泽，准在明朝。”,11,Ngắn
龙王日:“明日甚时下雨?,12,Ngắn
雨有多少尺寸?”,8,Ngắn
先生道:“明日辰时布云，已时发雷，午时下雨，未时雨足，共得水三尺三寸零四十八点。”,41,Dài
龙王笑日:“此言不可作戏。,13,Ngắn
如是明日有雨，依你断的时辰、数目，我送课金五十两奉谢:若无雨，或不按时辰、数目，我与你实说:定要打坏你的门面，扯碎你的招牌，即时赶出长安，不许在此惑置。”,77,Dài
先生忻然而答“这个一定任你。,14,Ngắn
请了，请了。,6,Ngắn
明朝雨后来会。”,8,Ngắn
龙王辞别，出长安，回水府。,13,Ngắn
大小水神接著，问日:“大王访那卖卦的如何?”,22,Trung bình
龙王道:“有，有，有。,11,Ngắn
但是一个掉嘴口讨春的先生。,13,Ngắn
我问他几时下雨，他就说明日下雨。,16,Trung bình
问他甚么时辰，甚么雨数，他就说辰时布云，已时发雷，午时下雨，未时雨足，得水三尺三寸零四十八点。,47,Dài
我与他打了个赌赛:若果如他语，送他谢金五十两:如略差些，就打破他门面，赶他起身，不许在长安惑众。”,49,Dài
众水族笑日:“大王是八河都总箊，司雨大龙神，有雨无雨，惟大王知之。,33,Dài
他怎敢这等胡言?,8,Ngắn
那卖卦的定是输了，定是输了。,14,Ngắn
此时龙子、龙孙与那鱼卿、蟹士正欢笑谈此事未毕，只听得半空中叫:“泾河龙王接旨。”,40,Dài
众抬头上看，是一个金衣力士，手擎玉帝敕易，径投水府而来。,28,Dài
慌得龙王整衣端肃，焚香接了易。,15,Trung bình
金衣力士回空而去。,9,Ngắn
龙王谢恩，拆封看时，上写著:敕命八河总，骠雷掣电行:明朝施雨泽，普济长安城。,38,Dài
昌意上时辰、数目，与那先生判断者毫鬘不差。,21,Trung bình
诡得那龙王魂飞魄散。,10,Ngắn
少颠产醒，对真水族日:“尘世上有此灵人，真个是能通天地理，却不输与他呵”鳞军师奏云:“大王放心。,48,Dài
要赢他有何难处?,8,Ngắn
臣有小计，箝教灭那厮的口嘴。”,15,Trung bình
龙王问计，军师道:“行雨莘了时辰，少些点数，就是那厮断卦不准，怕不赢他?,36,Dài
那时搾碎招牌，赶他跑路，果何难也?”,18,Trung bình
龙王依他所奏，果不担虫。,12,Ngắn
至次日，点札风伯、雷公、云童、电母，盲至长安城九霄空上。,28,Dài
他挨到那已时方布云，午时发雷，未时落雨，申时雨止，却只得三尺零四十点。,35,Dài
改了他一个时辰，克了他三寸八点。,16,Trung bình
雨后发放翟将班师。,9,Ngắn
他又按落云头，还变作白衣秀士，到那西门裔大街上，撞入袁守说卦舖，不容分说，就把他招牌、笔、砚等一齐搜碎。,52,Dài
那先生坐在椅上，公然不动。,13,Ngắn
这龙王及抡起门板便打，属道“这妄咏祸福的妖人，擅惑众心的泼汉你卦又不灵，言又狂谬。,41,Dài
说今日下雨的时辰、点数俱不相对。,16,Trung bình
你还危然高坐，趁早去，饶你死罪”守诚犹公然不惧分毫，仰面朝天冷笑道:“我不怕，我不怕。,43,Dài
我无死罪，只怕你倒有个死罪哩。,15,Trung bình
别人好瞒，只是难瞒我也。,12,Ngắn
我认得你，你不是秀士，乃是泾河龙王。,18,Trung bình
你违了玉帝敕易，改了时辰，荃了点数，犯了天条。,23,Trung bình
你在那利龙台上，恐难免一刀，你还在此网我?”,22,Trung bình
龙王见说，心惊胆战，毛骨悚然。,15,Trung bình
急秘了门板，整衣伏礼，向先生跪下道“先生休怪。,23,Trung bình
前言戏之耳，峰知弄假成真，果然违犯天条，奈何?,23,Trung bình
望先生救我一叙:不然，我死也不放你。”,19,Trung bình
守说日:“我救你不得，只是指条生路与你投生便了。”,25,Trung bình
龙日:“愿求指教。”,10,Ngắn
先生日:“你明日午时三刻，该赴人曹官魏征处骠斩。,24,Trung bình
你果要性命，须当急急去告当今唐太宗皇帝方好。,22,Trung bình
那魏征是唐王驾下的丞相，若是讨他个人情，方保无事。,25,Trung bình
龙王闯言，拜辞含泪而去。,12,Ngắn
不觉红日西沉，太阴星上。,12,Ngắn
但见:烟凝山紫归鸦倦，远路行人投旅店。,19,Trung bình
渡头新雁宿汁沙，铵河现，催更筹，孤村灯火光无焰。,24,Trung bình
风袅炉烟清道院，蝴蝶梦中人不见。,16,Trung bình
月移花影上栏杆，星光乱，漏声换，不营深沉夜已年。,24,Trung bình
这泾河龙王也不回水府，只在空中。,16,Trung bình
等到子时前后，收了云头，敛了露角，径来皇宫门首。,24,Trung bình
此时唐王正梦出宫门之外，步月花阴。,17,Trung bình
忽然龙王变作人相，上前跪拜，口叫:“陛下，救我，救我。”,28,Dài
太宗云:“你是何人?,10,Ngắn
朕当救你。”,6,Ngắn
龙王云:“陛下是真龙，臣是业龙。,16,Trung bình
卧因犯了天条，该陛下贺臣人曹官魏征处斩，故来拜求，望陛下救我一敏。”,34,Dài
太宗日:“既是魏征处斩，朕可以救你，你放心前去。”,25,Trung bình
龙王欢喜，叩谢而去。,10,Ngắn
却说那太宗梦醒后，念念在心。,14,Ngắn
早已至五鼓三点，太宗设朝，聚集两班文武官员。,22,Trung bình
但见那:烟笼凤暗，香蔼龙楼。,14,Ngắn
光摇丹序动，云抛翠华流。,12,Ngắn
君臣相契同奇舜，礼乐威严近渗周。,16,Trung bình
侍臣灯，宫女扇，双双映彩:孔雀屏，麒麟殿，处处光浮。,26,Dài
山呼万岁，华祝十秋。,10,Ngắn
静鞭三下响，衣冠拜罚旋。,12,Ngắn
家花灿烂天香龚，堤柳轻柔御标讴。,16,Trung bình
珍珠帘，菘翠帘，金钩高控，龙凤扇，山河扇，窃华停留。,26,Dài
文官英秀，武将抖搜。,10,Ngắn
御道分高下，丹塞列品流。,12,Ngắn
金章紫绫乘三象，地久天长万万秋。,16,Trung bình
众官朝贺已毕，各各分班。,12,Ngắn
唐王闪凤目龙睛，一一从头观看，只见那文官内是房玄龄、杜如晦、徐世、许敬宗、王珪等，武官内是马三宝、段志玄、殷开山、程咬金、刘洪纪、胡敬德、秦叔寄等，一个个威仪端肃，却不见魏征丞相。,90,Dài
唐王召徐世上殿道:“朕夜间得一怪梦:梦见一人，迎面拜谒，口称是泾河龙王，犯了天条，该人曹官魏征处斩，拜告寡人救他，朕已许诺。,62,Dài
今日班前独不见魏征，何也?”,14,Ngắn
世对日:“此梦告准。,10,Ngắn
须唤鹏征来朝，陛下不要放他出门，过此一日，可救梦中之龙。”,29,Dài
唐王大喜，即传易，著当驾官宣魏征入朝。,19,Trung bình
却说魏征丞相在府，夜观干象，正熟宝香，只阊得九霄鹤啷，却是天差仙使，捧玉帝金旬一道，著他午时三刻，梦斩泾河考龙。,56,Dài
这丞相谢了天恩，窿戒沐浴，在府中试慧剑，运元神，故此不曾入朝。,31,Dài
一见当驹官赍?,7,Ngắn
来家，惶惧无任:又不敢违迟君命，只得急急整衣束带，同旨入朝，在御前召头请罪。,38,Dài
唐王道“赦卿无罪。”,10,Ngắn
那时诸臣尚未退朝，至此，却命卷管散朝。,19,Trung bình
独留魏征，宣上金銮，召入便殿，先议论安邦之策，定国之谋。,28,Dài
将近巳末午初时候，却命宫人:“取过大棋来，朕与贤卿对弈一局。”,31,Dài
众嫔妃随取棋枸，铺设御案。,13,Ngắn
魏征谢了恩，即与唐王对奔，一递一著，拢开阵势。,23,Trung bình
正合《烂枸经》云:博弈之道，贵乎吴谨。,19,Trung bình
高者在腹，下者在边，中者在角，此棋家之常法。,22,Trung bình
法日:“宁输一子，不失一先。”,15,Trung bình
击左则视台，攻后则瞻前。,12,Ngắn
有先而后，有后而先。,10,Ngắn
两生勿断，皆活勿连。,10,Ngắn
阔不可太唐，密不可太促。,12,Ngắn
与其恋子以求生，不若弃之而取胜:与其无事而独行，不若固之而自补。,32,Dài
彼众我宽，先谋其生:我众彼寡，务张其势。,20,Trung bình
善胜者不争，善阵者不战:善战者不败，善败者不乱。,24,Trung bình
夫棋始以正合，终以奇胜。,12,Ngắn
凡敌无事而自补者，有侵绝之意:弃小而不救者，有图大之心，随手而下者，无谋之人:不思而应者，取败之道。,50,Dài
《诗》云:“惆愣小心，如临于谷。”,17,Trung bình
此之谓也。,5,Ngắn
诗日:棋盘为地子为天，色按阴阳造化全。,19,Trung bình
下到玄微通变处，笑夸当日烂柯仙。,16,Trung bình
君臣两个对奔，此棋正下到午时三刻，一盘残局未终，魏征忽然俯伏在案边，鼾鼾盹睽。,39,Dài
太宗笑日:“贤卿真是匡扶社稷之心劳，创立江山之力倦，所以不觉盹睡。”,34,Dài
太宗任他睡著，更不呼唤。,12,Ngắn
不多时，魏征醒来，俯伏在地道:“臣该万死，臣该万死却才倦卿从新更著。,34,Dài
鹏征谢了恩，却才撚子在手，忽骠得朝门外大呼小叫。,24,Trung bình
原来是秦叔寄、徐茂公等，将著一个血淋的龙头，掷在帝前，启奏道“陛下，海漠河枯曾有见，这般异事却无阅。”,51,Dài
太宗与魏征起身道:“此物何来?”,16,Trung bình
叔宝、茂公道“千步廊南，十字街上，云端裔落下这颗龙头，微臣不敢不奏。”,35,Dài
唐王惊问魏征:“此是何说?”,14,Ngắn
魏征转身叩头道是臣才一梦斩的。”,16,Trung bình
唐王閰言，大惊道“贺卿盹睡之时，又不曾见动身动手，又无刀剩，如何却斩此龙?”,38,Dài
魏征奏道:“主公，臣的身在君前，梦离陛下。,21,Trung bình
身在君前对残局，合眼膑胧:梦离陛下乘瑞云，出神抖搜。,26,Dài
那条龙在利龙台上，被天兵将绑缚其中。,18,Trung bình
是臣道:“你犯天条，合当死罪。,15,Trung bình
我奉天命，斩汝残生。”,11,Ngắn
龙阉哀苦，臣抖精神。,10,Ngắn
龙阊含苦，伏爪收鳞甘受死，臣抖精神，抚衣进步举霞锋。,26,Dài
扢抗一声刀过处，龙头因此落虏空。”,17,Trung bình
太宗阉言，心中悲喜不一。,12,Ngắn
喜者，夸奖魏征好臣，朝中有此寮杰，愁甚江山不稳?,24,Trung bình
悲者，谓梦中曾许救龙，不期竟致遭诛。,18,Trung bình
只得强打精神，传易著叔宝将龙头悬挂市哲，晓论长安黎厂。,27,Dài
一壁厢赏了魏征，众官散讫。,13,Ngắn
当晚回宫，心中只是蜜闷。,12,Ngắn
想那梦中之龙，哭啼啼衿告求生，岂知无常，难免此患。,25,Trung bình
思念多时，渐赢神魂倦怠，身体不安。,17,Trung bình
当夜二更时分，只声得宫门外有号泣之声，太宗愈加惊恬。,26,Dài
正膑胪睡间，又见那泾河龙王手提菁一颗血淋淋的首级，高叫:“唐太宗，还我命来还我命来你昨夜满口许诺救我，怎么天明时反宣人曹官来斩我?,65,Dài
你出来，你出来，我与你到阊君处折办折辨。”,21,Trung bình
他扯住太宗，再三嚷闹不放。,13,Ngắn
太宗箝口难言，只挣得汗流道体。,15,Trung bình
正在那难分难解之时，只见正南上香云缭绕，彩露飘飘，有一个女真人上前，将杨柳枝用手一拢，那没头的龙悲悲啼啼，径往西北而去。,60,Dài
原来这是观唇菩萨颠佛旨，上东土寻取经人，住此长安城都土地庙裔，夜阊鬼泣神号，特来喝退业龙，救脱皇帝。,50,Dài
那龙径到阴司地狱具告不题却说太宗苏醒回来，只叫“有鬼有鬼”慌得那三宫皇后、六院娘妃，与近侍太监，战兢兢，一夜无眠。,57,Dài
不赢五更三点，那满朝文武多官，都在朝门外候朝。,23,Trung bình
等到天明，犹不见临朝，诡得一个个惊惧踌躇。,21,Trung bình
及日上三竿，方有易意出来道“朕心不快，众官免朝。”,25,Trung bình
不赢倩五七日，众官庆惶，都正要撞门见驾问安，只见太后有旨，召医官入宫用药。,37,Dài
众人在朝门外等候讨信。,11,Ngắn
少时，医官出来，众问何疾。,13,Ngắn
医官道:“皇上脉气不正，虚而又数，狂言见鬼。,22,Trung bình
又诊得十动一代，五脏无气，恐不讳只在七日之内美。”,25,Trung bình
众官阉言，大惊失色。,10,Ngắn
正怆惶间，又声得太后有旨宣徐茂公、护国公、腆迟悲见驾。,27,Dài
三公奉易，急入到分宫楼下。,13,Ngắn
拜毕，太宗正色强言道“贤卿，寡人十九岁领兵，南征北伐，东挡西除，苦历数载，更不曾见半点邪崩，今日却反见鬼。”,54,Dài
尉迟悲道:“创立江山，河人无数，何怕鬼乎?”,22,Trung bình
太宗道“卿是不信。,9,Ngắn
朕这寝宫门外，入夜就抛砖弄瓦，鬼魅呼号，著然难处。,25,Trung bình
白日犹可，昏夜难禁。”,11,Ngắn
叔宝道:“陛下宽心，今晚臣与敬德把守宫门，看有甚么鬼崩。”,29,Dài
太宗准奏。,5,Ngắn
茂公谢恩而出。,7,Ngắn
当日天晤，各取披挂，他两个介腔整齐，执金瓜、铀芹，在宫门外把守。,32,Dài
好将军你看他怎生打扮:头戴金盔光烁烁，身披铠甲龙鳞。,26,Dài
护心宝镜幌祥云，狮蛮收紧扣，绕带彩霞新。,20,Trung bình
这一个凤眼朝天星斗怕，那一个环睛映电月光浮。,22,Trung bình
他本是英雄寮杰旧勋臣，只落得千年称户康，万古作门神。,26,Dài
二将军侍立门傍，一夜天晓，更不曾见一点邪崩。,22,Trung bình
是夜，太宗在宫，安寝无事。,13,Ngắn
晓来宣二将军，重重赏劳道:“朕自得疼，数日不能得睡，今夜仗二将军威势甚安。,37,Dài
卿世请出安息安息，待晚间再一护卫。”,18,Trung bình
二将谢恩而出。,7,Ngắn
遂此一三夜把守俱安。,10,Ngắn
只是御膳减损，病转觉重。,12,Ngắn
太宗又不忍二将半苦，又宣叔宝、敬德与杜、房诸公入宫，吩咐道:“这两日朕虽得安，却只难为秦、胡二将军彻夜半苦。,54,Dài
朕欲召巧手丹青，传二将军真容，贴于门上，免得劳他。,25,Trung bình
如何?”,4,Ngắn
众臣即依易，选两个会写真的，著胡、秦二公依前披挂，照样画了，贴在门上。,35,Dài
夜间也即无事。,7,Ngắn
如此二三日，又声得后宰门乒兵乒民，砖瓦乱响。,22,Trung bình
晓来即宣众臣日:“连日前门幸喜惠事，今夜后门又响，却不又惊杀寡人也。”,35,Dài
茂公进前奏道“前门不安，是敬德、叔宝护卫:后门不安，该著魏征护卫。”,34,Dài
太宗准奏，又宣魏征今夜把守后门。,16,Trung bình
征领旨，当夜结束整齐，提著那诛龙的宝剑，侍立在后宰门前，真个的好英雄也。,36,Dài
他怎生打扮:熟绥青巾拖额，锦袍玉带垂腰。,20,Trung bình
兜风尘袖来霜觐，压赛墨茎神貌。,15,Trung bình
脚踏乌靴坐折，手持利刃兑麟。,14,Ngắn
图睁两眼四边瞧，那个邪神敢到?,15,Trung bình
一夜通明，也无鬼魅。,10,Ngắn
虽是前后门无事，只是身体渐重。,15,Trung bình
一日，太后又传易，召众臣商议殡殓后事。,19,Trung bình
太宗又宣徐茂公，吩咐国家大事，叼嚼傚刘蜀主托孤之意。,26,Dài
言辉，沐浴更衣，待时而已。,13,Ngắn
傍闪魏征，手扯龙衣，奏道:“陛下宽心，臣有一事，箝保陛下长生。”,32,Dài
太宗道“病势已入膏脢，命将危美，如何保得?”,22,Trung bình
征云:“臣有书一封，进与陛下，捎去到阴司，付郑都判官崔?,28,Dài
。”,2,Ngắn
太宗道:“崔?,7,Ngắn
是谁?”,4,Ngắn
征云:“崔?,6,Ngắn
乃是太上先皇帝驾前之臣，先受兹洲令，后升礼部侍郎。,25,Trung bình
在日与臣八拜为交，相知甚厚。,14,Ngắn
他如今已死，现在阴司做扫生死文簿的郑都判官，梦中常与臣相会。,30,Dài
此去若将此书付与他，他念微臣薄分，必然放陛下回来。,25,Trung bình
管教魂魃还阳世，定取龙颜转帝都。”,17,Trung bình
太宗阎言，接在手中，笼入袖裱，遂暝目而亡。,21,Trung bình
那三宫六院、皇后娘妃、侍长储君及两班文武，俱举衿戴孝。,27,Dài
又在白虎殿上，停著梓宫不题。,14,Ngắn
毕章不知太宗如何还魂，日骠下回分解。,18,Trung bình
第一一回游地府太宗还魂进瓜果刘全续配诗日:百岁光阴似水流，一生事业等浮演。,37,Dài
昨朝面上桃花色，今日头边雪片浮。,16,Trung bình
白蚁阵残方是幻，子规声切早回头。,16,Trung bình
古来阴鹤能延寿，善不求怜天自周。,16,Trung bình
却说太宗渺渺茫茵，魂灵径出五凤楼前，只见那御林军马，请大驾出朝采猎。,34,Dài
太宗忻然从之，缥渺而去。,12,Ngắn
行了多时，人马俱无。,10,Ngắn
独自一个，散步荒郊草野之间。,14,Ngắn
正惊惶难寻道路，只见那一边，有一人高声大叫道:“大唐皇帝，往这里来，往这裔来。”,40,Dài
太宗阉言，抬头观看，只见那人:头顶乌纱，腰围犀角。,25,Trung bình
头顶乌纱飘软带，腰图犀角显金厢。,16,Trung bình
手掺牙笏凝祥霭，身著罗袍隐瑞兆。,16,Trung bình
脚踏一双粉底靴，登云促霾:怀揣一本生死簿，注定存亡。,26,Dài
鬓发蓬松飘耳上，单须飞舞绕肿稻。,16,Trung bình
苑日曾为唐国相，如今扫案侍阊王。,16,Trung bình
太宗行到那边，只见他跪拜路奎，口称:“陛下，赦臣失误远迎之罪。”,32,Dài
太宗问日:“你是何人?,11,Ngắn
因甚事前来接拜?”,9,Ngắn
那人道:“微臣半月前在森罗殿上，见泾河鬼龙告陛下许救反诛之故，第一殿秦广大王即差鬼使催请陛下，要三曼对案。,53,Dài
臣已知之，故来此间候接。,12,Ngắn
不期今日来迟，望乞恕罪，恕罪。”,16,Trung bình
太宗道“你姓甚名谁?,10,Ngắn
是何官职?”,6,Ngắn
那人道:“彻臣存日，在阳曹侍先君驷前，为兹洲令，后拜礼部侍郎，姓崔名?,35,Dài
今在阴司，得受郦都扫案判官。”,15,Trung bình
太宗大喜，即近前，御手忙搀道:“先生远劳。,21,Trung bình
朕驾前魏征有书一封，正寄与先生，却好相遇。”,22,Trung bình
判官谢恩，问书在何处。,11,Ngắn
太宗即向袖中取出递与。,11,Ngắn
崔?,2,Ngắn
拜接了，拆封而看。,9,Ngắn
其书日:辱谙弟魏征顿首书拜大都案契兄崔老先生台下:忆苔交游，音容如在。,35,Dài
倩尔数载，不闯清教。,10,Ngắn
常只是遇节令，设蔬品奉祭，未卜享否?,18,Trung bình
又承不弃，梦中临示，始知我儿长大人高迁。,20,Trung bình
奈何阴阳两隔，天各一方，不能面观。,17,Trung bình
今因我太宗文皇帝倩然而攻，料是对案三曹，必然得与兄长相会。,29,Dài
万祈俯念生日交情，方便一二，放我陛下回阳，殊为谙也。,26,Dài
容再修谢。,5,Ngắn
不尽。,3,Ngắn
那判官看了书，满心欢喜道“魏人曹前日梦斩老龙一事，臣已早知，甚是夸奖不尽。,37,Dài
又蒙他早晚看顾臣的子孙，今日既有书来，陛下宽心，微臣管送陛下还阳，重登玉阖。”,39,Dài
太宗称谢了。,6,Ngắn
二人正说间，只见那边有一对青衣童子执幢幡、宝盖，高叫道:“阊王有请，有请。”,38,Dài
太宗遛与崔判官并一童子举步前进。,16,Trung bình
忽见一座城，城门上挂菁一面大牌，上写著“幽冥地府鬼门关”七个大金字。,34,Dài
那青衣将幢帜摇动，引太宗径入城中，顺街而走。,22,Trung bình
只见那街傍边有先主李渊、先兄建成、故弟元吉，上前道:“世民来了，世民来了。”,38,Dài
那建成、元吉就来揪打索命。,13,Ngắn
太宗躲闪不及，被他扯住。,12,Ngắn
幸有崔判官唤一青面獠牙鬼使，喝退了建成、元吉，太宗方得脱身而去。,32,Dài
行不数里，见一座耀瓦楼臻，真个壮丽。,18,Trung bình
但见:飘飘万霸彩霞堆，隐隐十条红雾现。,19,Trung bình
耿耿簷飞怪兽头，辉辉五黉简鸳片。,16,Trung bình
门钻几路赧金钉，槛设一横白玉段。,16,Trung bình
腿近光放晓烟，帘枥幌亮穿红电。,15,Trung bình
楼矗高吓接青震，廊庑平排连宝院。,16,Trung bình
兽鼎香云袭御衣，绛纱灯火明宫扇。,16,Trung bình
左边猛烈携牛头，右下峥岭罗马面。,16,Trung bình
接亡送鬼转金牌，引魄招魂垂素练。,16,Trung bình
唤作阴司总会门，下方阊考森罗毁。,16,Trung bình
太宗正在外面观看，只见那壁厢环珂叮当，仙香奇异，外有两对提灿，后面却是十代阉王降阶而至，是那十代阊君:秦广王、初江王、宋帝王、件官王、阊罗王、平等王、泰山王、都市王、卞城王、转轮王。,91,Dài
十王出在森罗窃殿，控背躬身，迎透太宗。,19,Trung bình
太宗谦下，不敢前行。,10,Ngắn
十王道:“陛下是阳间人王，我等是阴间鬼王，分所当然，何须过让?”,32,Dài
太宗道:“朕得罪塾下，岂敢论阴阳人鬼之道?”,22,Trung bình
遛之不已。,5,Ngắn
太宗前行，径入森罗殿上，与十王礼毕，分容主坐定。,24,Trung bình
约有片时，秦广王拱手而进词日:“泾河奥龙告陛下许救而反杀之，何也?”,34,Dài
太宗道:朕曾夜梦考龙求救，宿是允他无事。,20,Trung bình
不期他犯罪当刑，该我那人曹官魏征处斩。,19,Trung bình
朕宣魏征在殿著棋，不知他一梦而斩。,17,Trung bình
这是那人曹官出没神机，又是那龙王犯罪当死，峰是朕之过也?”,29,Dài
